title,journal,year
Infrared spectra of neutral polycyclic aromatic hydrocarbons based on,THEORETICAL CHEMISTRY ACCOUNTS,2021
It did not work? Unlearn and try again-Unlearning success and failure,STRATEGIC MANAGEMENT JOURNAL,2021
Family Medicine Education at a Rural Hospital in Japan: Impact on,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2021
Experiences of a Postgraduate Resident during COVID-19: The Trials and,JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,2021
"Deflationist Caprice: ""Imperfections"" in the Sculpture of Leon Podsiadly",ARTS,2021
Somatic work and independent training as an invisibly disabled performer,THEATRE DANCE AND PERFORMANCE TRAINING,2021
The Relationship Between Unlearning and Innovation Ambidexterity with,GROUP DECISION AND NEGOTIATION,2021
Autoethnographic Re-drawings of floating homes: Narrating trans,EMOTION SPACE AND SOCIETY,2021
Unlearning racism through transformative interracial dialogue,INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES IN EDUCATION,2021
Histograms of Frequency-Intensity Distribution Deep Learning to Predict,TOXICOLOGICAL SCIENCES,2021
Long-term trends of ambient nitrate (NO3-) concentrations across China,EARTH SYSTEM SCIENCE DATA,2021
Dancing with Epistemic Borders Knowledge and unknowns in mixed-methods,PERFORMANCE RESEARCH,2021
Pictorial Referents Facilitate Recognition and Retrieval Speeds of,FRONTIERS IN COMMUNICATION,2021
The role of absorptive capacity and organizational unlearning in the,JOURNAL OF KNOWLEDGE MANAGEMENT,2021
Freeze-all or conventional IVF? Unanswered question from unlearned,HUMAN REPRODUCTION,2021
Multiple realities around sexual and reproductive health and rights,JOURNAL OF BIOSOCIAL SCIENCE,2021
"Social media strategic capability, organizational unlearning, and",JOURNAL OF BUSINESS RESEARCH,2021
Knowledge sharing in times of a pandemic: An intergenerational learning,KNOWLEDGE AND PROCESS MANAGEMENT,2021
Conflict Test Battery for Studying the Act of Facing Threats in Pursuit,FRONTIERS IN NEUROSCIENCE,2021
Stacking Complexities: Reframing Uncertainty through Hybrid Literacies,DESIGN AND CULTURE,2021
Interrogating the Criminalisation of Same-Sex Sexual Activity: A Study,LIVERPOOL LAW REVIEW,2021
Literature and Interculturality. A Proposal for Possible Readings,JOURNAL OF LATIN AMERICAN CULTURAL STUDIES,2021
Digital transformation of business-to-business sales: what needs to be,JOURNAL OF PERSONAL SELLING & SALES MANAGEMENT,2021
Hungry Ethics: from doing research to becoming-sangtin,GENDER PLACE AND CULTURE,2021
Scholars as allies in the struggle for food systems transformation,AGRICULTURE AND HUMAN VALUES,2021
Coordinated Reset Vibrotactile Stimulation Induces Sustained Cumulative,FRONTIERS IN PHYSIOLOGY,2021
Aiding and abetting the unruly past: queer and critical disability,POLITICS GROUPS AND IDENTITIES,2021
Are contractors ready for greater use of prefabrication in projects? An,INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT,2021
Exploring an alternative: Foucault-Chokr's unlearning approach to,INTERNATIONAL JOURNAL OF MANAGEMENT EDUCATION,2021
The impact of unlearning context on organizational performance through,SPORT MANAGEMENT REVIEW,2021
Signaling sustainability: impact that learning how to report has on,SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,2021
Unlearning as (Japanese) learning,EDUCATIONAL PHILOSOPHY AND THEORY,2021
Effects of the paradox mindset on work engagement: The mediating role of,CURRENT PSYCHOLOGY,2021
Sustaining behavior reduction by transitioning the topography of the,JOURNAL OF APPLIED BEHAVIOR ANALYSIS,2021
"Arborealism, or do novels do trees?",TEXTUAL PRACTICE,2021
Unlearning the boundary-crossing constraint: processing instruction and,IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,2021
D-dimer specificity and clinical context: an old unlearned story,CRITICAL CARE,2021
Unlearning the ABCs of Tympanometry,OTOLARYNGOLOGY-HEAD AND NECK SURGERY,2021
The mediation effects of team information processing on new product,EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,2021
The (im)possibilities of doing tourism otherwise: The case of settler,ANNALS OF TOURISM RESEARCH,2021
Towards on-site automatic detection of noxious events in dairy cows,APPLIED ANIMAL BEHAVIOUR SCIENCE,2021
Evaluation Metrics for Conditional Image Generation,INTERNATIONAL JOURNAL OF COMPUTER VISION,2021
A framework for understanding the role of unlearning in onboarding,HUMAN RESOURCE MANAGEMENT REVIEW,2021
Missing Finishes and Diminishing Heroes in Hurricane Katrina Survivor,JOURNAL OF AMERICAN FOLKLORE,2021
Reclaiming Emotions: Re-Unlearning and Re-Learning Discourses of Healing,GENEALOGY,2021
Imagining a Trans* Epistemology: What Liberation Thinks Like in,URBAN EDUCATION,2021
Talks with My Ancestors,GENEALOGY,2021
College Athletic Trainers' Perceptions of Rest and Physical Activity,JOURNAL OF SPORT REHABILITATION,2021
Terminological Entrepreneurs and Discursive Shifts in International,INTERNATIONAL STUDIES REVIEW,2021
The Anti-Capitalism of Pro-Slavery Discourse: Lessons Unlearned by,CRITICAL SOCIOLOGY,2021
A risk-averse optimization approach to human-robot collaboration in,COMPUTERS AND ELECTRONICS IN AGRICULTURE,2021
Global Desi?: possibilities and challenges for global citizenship,GLOBALISATION SOCIETIES AND EDUCATION,2021
Epitaph for bare-metal stents: Unlearning is hard to do,CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,2021
Mega-dams and extreme rainfall: Disentangling the drivers of extensive,PLOS ONE,2021
A boosted SVM classifier trained by incremental learning and decremental,EXPERT SYSTEMS WITH APPLICATIONS,2021
Transfer and unlearning of topic prominence by Chinese learners of,IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,2021
Overcoming Pavlovian bias in semantic space,SCIENTIFIC REPORTS,2021
Accumbens coordinated reset stimulation in mice exhibits ameliorating,BRAIN STIMULATION,2021
"The ""saddest repudiation"" redux: Structural racism and the unlearned",PUBLIC HEALTH NURSING,2021
A Systematic Approach to Predict the Behavior of Cough Droplets Using,FLUIDS,2021
"Unlearning, Undoing, and Uplifting An Organized Approach to Ending",OBSTETRICS AND GYNECOLOGY,2021
Organizational learning and unlearning capabilities for resilience,LEARNING ORGANIZATION,2021
"Unlearning Eugenics: Sexuality, Reproduction, and Disability in",GERMAN STUDIES REVIEW,2021
Compositional springboarding and EMNE evolution,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2021
Potential History: Unlearning Imperialism,CONTEMPORARY POLITICAL THEORY,2021
Deep learning-based unlearning of dataset bias for MRI harmonisation and,NEUROIMAGE,2021
Unlearning the ABCs: a call to reprioritize prehospital intubation for,CANADIAN JOURNAL OF EMERGENCY MEDICINE,2021
Coded Machine Unlearning,IEEE ACCESS,2021
Privacy Enhanced Speech Emotion Communication using Deep Learning Aided,2021 IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS WORKSHOPS (ICC,2021
Adaptive Organizational Leadership in the Context of the COVID-19,"PROCEEDINGS OF THE 17TH EUROPEAN CONFERENCE ON MANAGEMENT, LEADERSHIP",2021
Predicting Power Density of Array Antenna in mmWave Applications With,IEEE ACCESS,2021
Unlearning,"UNLEARNING: Rethinking Poetics, Pandemics, and the Politics of Knowledge",2021
Machine Unlearning for Random Forests,"INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",2021
When Machine Unlearning Jeopardizes Privacy,CCS '21: PROCEEDINGS OF THE 2021 ACM SIGSAC CONFERENCE ON COMPUTER AND,2021
Organizational innovation: straight planning and the public research,NAVUS-REVISTA DE GESTAO E TECNOLOGIA,2021
Ariella Aisha Azoulay and Georges Didi-Huberman: the persistence of lost,JOURNAL OF AESTHETICS & CULTURE,2021
"Connecting ""Third Space"" Pedagogy With Employability in Arabic Language",DEVELOPMENTS IN VIRTUAL LEARNING ENVIRONMENTS AND THE GLOBAL WORKPLACE,2021
Class Clown: Data Redaction in Machine Unlearning at Enterprise Scale,PROCEEDINGS OF THE 10TH INTERNATIONAL CONFERENCE ON OPERATIONS RESEARCH,2021
Planning and Designing Online Vocational Skill Showcasing Platform: From,JOURNAL OF TECHNICAL EDUCATION AND TRAINING,2021
"Literature, exhibitions and communication: a conversation",CULTURE ET MUSEES,2021
Amnesiac Machine Learning,"THIRTY-FIFTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, THIRTY-THIRD",2021
Reduce the Difficulty of Incremental Learning With Self-Supervised,IEEE ACCESS,2021
Adaptive Machine Unlearning,ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 34 (NEURIPS 2021),2021
Estimation of Affective State based on Keystroke and Typing Vibration,BIOSIGNALS: PROCEEDINGS OF THE 14TH INTERNATIONAL JOINT CONFERENCE ON,2021
"Lessons Unlearned:"" The US Army's Role in Creating the Forever Wars in",JOURNAL OF MILITARY HISTORY,2021
"Unlearning, Relearning, and Paradigm Shift to Online Tertiary Education",BANGLADESH JOURNAL OF MEDICAL SCIENCE,2021
"""We need to learn about each other and unlearn patterns of racism"" A","POSTCOLONIAL AND POSTSOCIALIST DIALOGUES: Intersections, Opacities,",2021
(INDIVIDUAL) RESPONSIBILITY IN DECOLONISING THE UNIVERSITY CURRICULUM,SOUTH AFRICAN JOURNAL OF HIGHER EDUCATION,2021
Practising postcolonial pedagogies in higher education teaching and,JOURNAL OF UNIVERSITY TEACHING AND LEARNING PRACTICE,2021
FedEraser: Enabling Efficient Client-Level Data Removal from Federated,2021 IEEE/ACM 29TH INTERNATIONAL SYMPOSIUM ON QUALITY OF SERVICE (IWQOS),2021
Attitudes towards death in major persons: a pedagogy of ageing for,FORO DE EDUCACION,2021
Impressions2Font: Generating Fonts by Specifying Impressions,"DOCUMENT ANALYSIS AND RECOGNITION, ICDAR 2021, PT III",2021
"""Some people don't unlearn those things."" A Conversation on Hockey,",CANADIAN ETHNIC STUDIES-ETUDES ETHNIQUES AU CANADA,2021
Indigenous Culture-Based School Mathematics in Action Part II: The,MATHEMATICS ENTHUSIAST,2021
Route optimization for autonomous bulldozer by distributed deep,2021 IEEE INTERNATIONAL CONFERENCE ON MECHATRONICS (ICM),2021
The didactic strategy of the Witral (Mapuche loom) from a decolonial,CIVAE 2021: 3RD INTERDISCIPLINARY AND VIRTUAL CONFERENCE ON ARTS IN,2021
Challenging the Hegemonic Police Within A Lifelong Process of Unlearning,DEPARTURES IN CRITICAL QUALITATIVE RESEARCH,2021
Disruptive Technological Innovation and Organizational Agility,PROCEEDINGS OF THE 16TH EUROPEAN CONFERENCE ON INNOVATION AND,2021
Effective Use of Drone in Elementary School Programming Classes,2021 INTERNATIONAL SYMPOSIUM ON EDUCATIONAL TECHNOLOGY (ISET 2021),2021
Reconfiguration of the subject under the new normality. Looking is not,TELOS-REVISTA DE ESTUDIOS INTERDISCIPLINARIOS EN CIENCIAS SOCIALES,2021
HEDGECUT: Maintaining Randomised Trees for Low-Latency Machine,SIGMOD '21: PROCEEDINGS OF THE 2021 INTERNATIONAL CONFERENCE ON,2021
"Before Violence, after Empire: Ariella Azoulay's Potential History;",JOURNAL OF PALESTINE STUDIES,2021
WHAT HAS BEEN PRODUCED IN ORGANIZATIONAL UNLEARNING IN THE LAST TEN,GESTAO E DESENVOLVIMENTO,2021
Compositionality of Linearly Solvable Optimal Control in Networked,2021 AMERICAN CONTROL CONFERENCE (ACC),2021
"""Just Drive"": Colour Bias Mitigation for Semantic Segmentation in the",2021 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),2021
John Ruskin: practicing innocence,METHODOS-SAVOIRS ET TEXTES,2021
A Super Baseline for Pedestrian Re-Identification,2021 IEEE INTERNATIONAL CONFERENCE ON MECHATRONICS AND AUTOMATION (IEEE,2021
"Unlearning Eugenics: Sexuality, Reproduction, and Disability in",AMERICAN HISTORICAL REVIEW,2020
Lessons Unlearned: The US Army's Role in Creating the Forever Wars in,REVIEWS IN AMERICAN HISTORY,2020
Enhancing network modularity to mitigate catastrophic forgetting,APPLIED NETWORK SCIENCE,2020
Teaching Community Psychology Decolonially: A Pedagogical Journey,REVIEW OF GENERAL PSYCHOLOGY,2020
Informal and Incidental Learning in the time of COVID-19,ADVANCES IN DEVELOPING HUMAN RESOURCES,2020
The Task at Hand : Learning to unlearn in the politics of presence,PERFORMANCE RESEARCH,2020
"Transnational contextualisation seeing the world from there, here and",IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,2020
General Cognitive Ability Predicts Survival-Readiness in Genetically,FRONTIERS IN ECOLOGY AND EVOLUTION,2020
"Unlearning Eugenics: Sexuality, Reproduction, and Disability in",HISTOIRE SOCIALE-SOCIAL HISTORY,2020
The hardest thing about learning is unlearning: why systematic review,JBI EVIDENCE SYNTHESIS,2020
On learning and unlearning repertoires of gender embodiment,GENDER AND EDUCATION,2020
"Pause and Forward: Body, Movement, and COVID",QUALITATIVE INQUIRY,2020
Identifying and working through settler ignorance,CRITICAL STUDIES IN EDUCATION,2020
"Relational governance, organizational unlearning and learning:",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,2020
"Language assessment literacy: what do we need to learn, unlearn, and",LANGUAGE TESTING IN ASIA,2020
Thinking Europe Otherwise: Lessons from the Caribbean,CURRENT SOCIOLOGY,2020
Robust Deep Learning-Based Diagnosis of Mixed Faults in Rotating,IEEE-ASME TRANSACTIONS ON MECHATRONICS,2020
Timescales of motor memory formation in dual-adaptation,PLOS COMPUTATIONAL BIOLOGY,2020
Probabilistic Cuing of Visual Search: Neither Implicit nor Inflexible,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,2020
HOW TO UNLEARN RACISM,SCIENTIFIC AMERICAN,2020
ASR-Adaptive Similarity-Based Regressor for Uplink Data Rate Estimation,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,2020
Social (un-)learning and the legitimization of marginalized knowledge:,JOURNAL OF RURAL STUDIES,2020
Memory reconsolidation in psychotherapy for severe perfectionism within,JOURNAL OF CLINICAL PSYCHOLOGY,2020
A smart tool wear prediction model in drilling of woven composites,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2020
Dynamic capability development in multinational enterprises: Reconciling,GLOBAL STRATEGY JOURNAL,2020
Fault Diagnosis of Planetary Gearbox Based on Motor Current Signal,SHOCK AND VIBRATION,2020
The Bible in the Fourth Industrial Revolution: 'What's in it for me?',HTS TEOLOGIESE STUDIES-THEOLOGICAL STUDIES,2020
Making Urban Theory: Learning and Unlearning Through Southern Cities,URBAN STUDIES,2020
"Unlearning Eugenics: Sexuality, Reproduction, and Disability in",JOURNAL OF THE HISTORY OF SEXUALITY,2020
The politics of museal hospitality: Sonia Boyce's neo-Victorian takeover,EUROPEAN JOURNAL OF ENGLISH STUDIES,2020
The Psychology of Food Cravings: the Role of Food Deprivation,CURRENT NUTRITION REPORTS,2020
Sustainable innovation and the triple bottom-line: a market-based,JOURNAL OF MARKETING THEORY AND PRACTICE,2020
Learning towards decolonising relationships at standing rock,STUDIES IN THE EDUCATION OF ADULTS-NIACE,2020
"Honor the old, welcome the new: an account of unlearning and forgetting",EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,2020
"Children, childhoods, and everyday militarisms",CHILDHOOD-A GLOBAL JOURNAL OF CHILD RESEARCH,2020
The role of individual differences in risk learning: Who learns to place,LEARNING AND MOTIVATION,2020
"Unlearning Eugenics. Sexuality, Reproduction, and Disability in",ZEITSCHRIFT FUR EVANGELISCHE ETHIK,2020
Fault Diagnosis in Photovoltaic Arrays Using GBSSL Method and Proposing,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,2020
Residual Glucose Taste in T1R3 Knockout but not TRPM5 Knockout Mice,PHYSIOLOGY & BEHAVIOR,2020
The sign of contradiction: Church defense and the liturgical gun,REVIEW & EXPOSITOR,2020
Major League Baseball Broadcasts and the Delineation of Traditional and,COMMUNICATION & SPORT,2020
"Dorsal, but not ventral, hippocampal inactivation alters deliberation in",BEHAVIOURAL BRAIN RESEARCH,2020
Critical reflection and innovative work behavior: the mediating role of,PERSONNEL REVIEW,2020
Organizational forgetting Part II: a review of the literature and future,LEARNING ORGANIZATION,2020
A lesson unlearned? Underestimating tree cover in dryland biases global,GLOBAL CHANGE BIOLOGY,2020
When collective souls shift the ground beneath US: the implications of,INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES IN EDUCATION,2020
"Society, University, Business and Talent in times of change. Learn and",AULA ABIERTA,2020
The logic of the contradictory in the work of Tomas Lefever,REVISTA MUSICAL CHILENA,2020
Catalonian Nationalism as a Fact of Spanish History,CONTEMPORARY EUROPE-SOVREMENNAYA EVROPA,2020
Generalization of movements in quadruped robot locomotion by learning,ROBOMECH JOURNAL,2020
Linguistic Inclusion: Challenging Implicit Classed Communication Bias in,MANAGEMENT COMMUNICATION QUARTERLY,2020
Pattern contrast influences wariness in naive predators towards,SCIENTIFIC REPORTS,2020
A Space for Unlearning? A Relational Perspective on North-South,EUROPEAN JOURNAL OF DEVELOPMENT RESEARCH,2020
THE MALE ARCHETYPES IN PERRAULT'S TALES: MODELS OF MASCULINITY TO LEARN,FEMINISMO-S,2020
"Art, Anti-Racism and Health Equity: ""Don't Ask Me Why, Ask Me How!""",ETHNICITY & DISEASE,2020
"Visible Learning and whole language: revisiting the 'garbage in, garbage",AUSTRALIAN JOURNAL OF LANGUAGE AND LITERACY,2020
Longitudinal Evidence for Simultaneous Bilingual Language Development,LANGUAGE LEARNING,2020
Learning How Language is Used in Higher Education to Strategically,EDUCATIONAL RESEARCH FOR SOCIAL CHANGE,2020
ART AS UNLEARNING: TOWARDS A MANNERIST PEDAGOGY,INTERNATIONAL JOURNAL OF EDUCATION THROUGH ART,2020
What will we unlearn next? The implications of Lopez (2020),JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS,2020
Two forms of organizational unlearning: Insights from engaged,MANAGEMENT LEARNING,2020
"Language assessment literacy: what do we need to learn, unlearn, and",LANGUAGE TESTING IN ASIA,2020
Developing a novel hybrid model for the estimation of surface 8 h ozone,ATMOSPHERIC CHEMISTRY AND PHYSICS,2020
"Disinformation, Misinformation and Inequality-Driven Mistrust in the",AIDS AND BEHAVIOR,2020
Learning accountability in the public sector: The experience of Kerala,FINANCIAL ACCOUNTABILITY & MANAGEMENT,2020
Managing cultural specificity and cultural embeddedness when,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2020
A revised model of experiential learning with a debriefing checklist,INTERNATIONAL JOURNAL OF TRAINING AND DEVELOPMENT,2020
Organizational forgetting Part I: a review of the literature and future,LEARNING ORGANIZATION,2020
"The Reality Principle: Fanonian Undoing, Unlearning, and Decentering: A",PSYCHOANALYTIC DIALOGUES,2020
Organizational unlearning and knowledge transfer in cross-border M&As:,JOURNAL OF KNOWLEDGE MANAGEMENT,2020
I think I made a mistake: How do prospective teachers elicit the,JOURNAL OF MATHEMATICS TEACHER EDUCATION,2020
"Organisational unlearning, relearning and strategic flexibility: from",TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,2020
Education in the apocalypse: disaster and teaching on British television,HISTORY OF EDUCATION REVIEW,2020
River dams and the stability of bird communities: A hierarchical,JOURNAL OF APPLIED ECOLOGY,2020
"Effects of learning, unlearning and forgetting on path development: the",EUROPEAN PLANNING STUDIES,2020
Learning Habits: Does Overtraining Lead to Resistance to New Learning?,COLLABRA-PSYCHOLOGY,2020
Detection method of unlearned pattern using support vector machine in,STRUCTURAL CONTROL & HEALTH MONITORING,2020
'Is he allowed to have a crush on you?' interrupting adultism in,ETHNOGRAPHY AND EDUCATION,2020
A social dominance theory perspective on multicultural competence,COUNSELLING PSYCHOLOGY QUARTERLY,2020
Rigidities of imagination in scenario planning: Strategic foresight,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,2020
Tensions in aesthetic socialization: Negotiating competence and,POETICS,2020
"Learn, unlearn, and learn again: the secret to changing how elderly",EMERGENCIAS,2020
Effects of dose on acquisition and persistence of a new response for a,BEHAVIOURAL PHARMACOLOGY,2020
Self-Portrait in Black and White: Unlearning Race,NEW YORK REVIEW OF BOOKS,2020
Entrepreneurial learning: the transmitting and embedding of,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,2020
Managers' exploration activities and individual unlearning: the,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,2020
Savannah sparrows (Passerculus sandwichensis) nesting close to energy,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,2020
The tensions of innovation: experiences of teachers during a whole,RESEARCH PAPERS IN EDUCATION,2020
Exploring linkages between unlearning and human resource development:,HUMAN RESOURCE DEVELOPMENT QUARTERLY,2020
"Learning, unlearning and relearning",PEDIATRIC ANESTHESIA,2020
UNLEARNING WHAT IS LEARNED Teaching Islam in America in Light of Paulo,JOURNAL OF FEMINIST STUDIES IN RELIGION,2020
UNLEARN,NAVAL WAR COLLEGE REVIEW,2020
A multi-population differential evolution algorithm based on cellular,APPLIED SOFT COMPUTING,2020
Understanding and governing learning in sustainability transitions: A,ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,2020
Postdigital We-Learn,STUDIES IN PHILOSOPHY AND EDUCATION,2020
Principles for a pedagogy of unlearning,REFLECTIVE PRACTICE,2020
What Prevents Christians from Learning to Be Good?,RURAL THEOLOGY-INTERNATIONAL ECUMENCIAL AND INTERDISCIPLINARY,2020
Unnecessary Bimanual Pelvic Examinations and Papanicolaou Testing in,JAMA INTERNAL MEDICINE,2020
Decolonising the 'autonomy of affect' in volunteer tourism encounters,TOURISM GEOGRAPHIES,2020
The speed of learning and learning forces,KNOWLEDGE AND PROCESS MANAGEMENT,2020
Digital transformation priorities of India's discrete manufacturing SMEs,COMPETITIVENESS REVIEW,2020
Connecting the Dots on the Origins of Social Knowledge,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,2020
Effects of intranasal insulin as an enhancer of fear extinction: a,NEUROPSYCHOPHARMACOLOGY,2020
"Unsettling allyship, unlearning and learning towards decolonising",STUDIES IN THE EDUCATION OF ADULTS-NIACE,2020
Supporting Workforce Wisdom in a Global Economy,"STRATEGIES FOR ATTRACTING, MAINTAINING, AND BALANCING A MATURE WORKFORCE",2020
Invertible generative models for inverse problems: mitigating,"INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 119",2020
Unlearning to Be Human: Fantasy and the Anthropocene,TEKSTY DRUGIE,2020
Unlearning some common tropes,"INTERNATIONAL ORGANISATIONS, NON-STATE ACTORS, AND THE FORMATION OF",2020
Training administrators from investigative competence for a postmodern,INVESTIGAR PARA EDUCAR: Visoes sem Fronteiras. Visions Without Borders,2020
Unlearning Scanner Bias for MRI Harmonisation in Medical Image,MEDICAL IMAGE UNDERSTANDING AND ANALYSIS,2020
Ethical dilemmas in field placements: The experiences of social work,DIALOGIC PEDAGOGY,2020
The Relationship between Organizational Unlearning and Radical,15TH INTERNATIONAL FORUM ON KNOWLEDGE ASSET DYNAMICS (IFKAD 2020):,2020
When Tough Times Make Tough Designers: How Perplexing Experiences Shape,INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,2020
Bayesian Variational Federated Learning and Unlearning in Decentralized,SPAWC 2021: 2021 IEEE 22ND INTERNATIONAL WORKSHOP ON SIGNAL PROCESSING,2020
Facilitative transfer only? L-3 acquisition of Mandarin sentence-final,JOURNAL OF SECOND LANGUAGE STUDIES,2020
"Trees, grass, or concrete? The effects of different types of",LANDSCAPE AND URBAN PLANNING,2020
2D FFT and AI-Based Analysis of Wallpaper Patterns and Relations Between,ADVANCES IN AFFECTIVE AND PLEASURABLE DESIGN,2020
Visualization of Focal Cues for Visuomotor Coordination by,2020 IEEE/SICE INTERNATIONAL SYMPOSIUM ON SYSTEM INTEGRATION (SII),2020
Privacy Enhanced Multimodal Neural Representations for Emotion,"THIRTY-FOURTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, THE",2020
Making Urban Theory Learning and Unlearning through Southern Cities,MAKING URBAN THEORY: LEARNING AND UNLEARNING THROUGH SOUTHERN CITIES,2020
Organizational Unlearning and Digital Transformation: A Conceptual,PROCEEDINGS OF THE 21ST EUROPEAN CONFERENCE ON KNOWLEDGE MANAGEMENT,2020
Multi-joint motor intention recognition of lower limbs based on muscle,2020 10TH INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2020
Antecedents and consequence of organizational unlearning: Evidence from,INDUSTRIAL MARKETING MANAGEMENT,2020
Experiencing 'otherness': Teacher educators' journey with first year,ISSUES IN EDUCATIONAL RESEARCH,2020
'Unlearning' in global justice education,CHALLENGING PERCEPTIONS OF AFRICA IN SCHOOLS: CRITICAL APPROACHES TO,2020
Linking Pavlovian Disgust Conditioning and Eating Disorder Symptoms: An,BEHAVIOR THERAPY,2020
UNDERSTANDING TEXT IN UNLEARNED LANGUAGE BY STUDENTS IN BULGARIAN,BULGARSKI EZIK I LITERATURA-BULGARIAN LANGUAGE AND LITERATURE,2020
Language Learning and Unlearning in Ethnographic Fieldwork: 'Speaking,LEARNING AND USING LANGUAGES IN ETHNOGRAPHIC RESEARCH,2020
A Model for Corrective Software Maintenance Effort Estimation after,2020 INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND SIGNAL,2020
Unlearning my communication pedagogy through poetic inquiry,JOURNAL OF EDUCATION,2020
Transfer Learning-Based Power System Online Dynamic Security Assessment:,IEEE TRANSACTIONS ON POWER SYSTEMS,2020
Learning to Unlearn Moving Educators From a Charity Mentality Towards a,TEACHER EDUCATION FOR SUSTAINABLE DEVELOPMENT AND GLOBAL CITIZENSHIP:,2020
TRANSFORMATIVE LEARNING IN A CONTEXT OF DEEP DIVISION: THE IMPORTANCE OF,SOUTH AFRICAN JOURNAL OF HIGHER EDUCATION,2020
Unlearning What Has Been Learned: The EU's New Neighbourhood Policy,DEMOCRATISATION AGAINST DEMOCRACY: HOW EU FOREIGN POLICY FAILS THE,2020
Latent space decomposition into task-specific and domain-specific,2020 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN),2020
Memories of motor adaptation do not necessarily decay with behavioral,EXPERIMENTAL BRAIN RESEARCH,2020
Spatio-Temporal Memory for Navigation in a Mushroom Body Model,"BIOMIMETIC AND BIOHYBRID SYSTEMS, LIVING MACHINES 2020",2020
Addressing Contextual Challenges in Underserved Indigenous Spaces of the,INTERNATIONAL JOURNAL OF QUALITATIVE METHODS,2019
Achievement of Very Low Low-Density Lipoprotein Cholesterol Levels Is It,CIRCULATION,2019
Japan's media fails its watchdog role: Lessons learned and unlearned,JOURNALISM,2019
An invitation to 'negative' comparative education,COMPARATIVE EDUCATION,2019
A Pilot Study on Falling-Risk Detection Method Based on Postural,SENSORS,2019
THE CONCEPT OF 'RURAL' AS A PSYCHOSOCIAL PROCESS: FROM CONCEPT,QUAESTIONES GEOGRAPHICAE,2019
Is post-transplant cyclophosphamide a true game-changer in allogeneic,BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY,2019
Scribal Traditions in Documentary Arabic: From the One Imperial Standard,JEWISH HISTORY,2019
Understanding How Organizational Culture Typology Relates to,JOURNAL OF THE KNOWLEDGE ECONOMY,2019
Processes Underlying MNE Subsidiary Absorptive Capacity: Evidence from,MANAGEMENT INTERNATIONAL REVIEW,2019
Self-Portrait in Black and White Unlearning Race,NATION,2019
Rapid learning and unlearning of predicted sensory delays in,ELIFE,2019
Prophylactic antibiotic usage by Belgian veterinarians during elective,PREVENTIVE VETERINARY MEDICINE,2019
Microvariation in multilingual situations: The importance of,SECOND LANGUAGE RESEARCH,2019
Decolonisation as Unlearning Christianity: Fallism and African,BLACK THEOLOGY,2019
Learning Race to Unlearn Racism: The Effects of Ethnic Studies,JOURNAL OF HIGHER EDUCATION,2019
